brand_slug,brand_name,origem,total,verified_inci,catalog_only,kits,non_hair,pct_inci,termo_volume,termo_inci,status_geral,acao
o-boticario,O Boticário,nacional,1884,1139,745,34,1459,60.5,🟢 saudavel,🟡 media,🟡 ESTAVEL,Acompanhar
eudora,Eudora,nacional,1804,695,1109,3,938,38.5,🟢 saudavel,🟠 baixa,🟠 PRECISA ATENCAO,Parceria ou source-scrape p/ INCI
salon-line,Salon Line,nacional,792,771,21,145,25,97.3,🟢 saudavel,🟢 boa,🟢 SAUDAVEL,OK
griffus,Griffus,nacional,791,99,691,5,33,12.5,🟢 saudavel,🟠 baixa,🟠 PRECISA ATENCAO,Parceria ou source-scrape p/ INCI
amend,Amend,nacional,706,629,75,430,0,89.1,🟢 saudavel,🟢 boa,🟢 SAUDAVEL,OK
apice-cosmeticos,Apice Cosméticos,nacional,622,188,418,1,27,30.2,🟢 saudavel,🟠 baixa,🟠 PRECISA ATENCAO,Parceria ou source-scrape p/ INCI
new-old-man,New Old Man,nacional,528,173,345,9,57,32.8,🟢 saudavel,🟠 baixa,🟠 PRECISA ATENCAO,Parceria ou source-scrape p/ INCI
belliz-company,Belliz Company,nacional,499,5,494,0,94,1.0,🟢 saudavel,🔴 zerada,🔴 SEM INCI,PARCERIA p/ INCI (gap critico)
haskell,Haskell,nacional,482,132,350,43,9,27.4,🟢 saudavel,🟠 baixa,🟠 PRECISA ATENCAO,Parceria ou source-scrape p/ INCI
abelha-rainha,Abelha Rainha,nacional,436,0,436,0,187,0.0,🟢 saudavel,🔴 zerada,🔴 SEM INCI,PARCERIA p/ INCI (gap critico)
beleza-natural,Beleza Natural,nacional,410,207,168,17,1,50.5,🟢 saudavel,🟡 media,🟡 ESTAVEL,Acompanhar
left-cosmeticos,Left Cosméticos,nacional,390,283,107,14,30,72.6,🟢 saudavel,🟢 boa,🟢 SAUDAVEL,OK
fox-for-men,Fox For Men,nacional,390,0,390,0,15,0.0,🟢 saudavel,🔴 zerada,🔴 SEM INCI,PARCERIA p/ INCI (gap critico)
mondial,Mondial,outras,387,236,142,0,259,61.0,🟢 saudavel,🟡 media,🟡 ESTAVEL,Acompanhar
dyusar,Dyusar,nacional,372,32,340,0,5,8.6,🟢 saudavel,🔴 zerada,🔴 SEM INCI,PARCERIA p/ INCI (gap critico)
philco,Philco,nacional,372,0,358,0,154,0.0,🟢 saudavel,🔴 zerada,🔴 SEM INCI,PARCERIA p/ INCI (gap critico)
natura,Natura,nacional,370,243,127,0,179,65.7,🟢 saudavel,🟡 media,🟡 ESTAVEL,Acompanhar
flora-pura,Flora Pura,nacional,355,6,341,0,93,1.7,🟢 saudavel,🔴 zerada,🔴 SEM INCI,PARCERIA p/ INCI (gap critico)
b-o-b-bars,B.O.B. Bars,nacional,354,114,240,14,60,32.2,🟢 saudavel,🟠 baixa,🟠 PRECISA ATENCAO,Parceria ou source-scrape p/ INCI
karina,Karina,outras,354,56,298,0,156,15.8,🟢 saudavel,🟠 baixa,🟠 PRECISA ATENCAO,Parceria ou source-scrape p/ INCI
felps-professional,Felps Professional,nacional,353,222,123,6,3,62.9,🟢 saudavel,🟡 media,🟡 ESTAVEL,Acompanhar
alva,Alva,outras,341,135,206,7,135,39.6,🟢 saudavel,🟠 baixa,🟠 PRECISA ATENCAO,Parceria ou source-scrape p/ INCI
hidratei,Hidratei,nacional,341,121,220,30,14,35.5,🟢 saudavel,🟠 baixa,🟠 PRECISA ATENCAO,Parceria ou source-scrape p/ INCI
natuhair,NatuHair,nacional,333,218,115,0,5,65.5,🟢 saudavel,🟡 media,🟡 ESTAVEL,Acompanhar
widi-care,Widi Care,nacional,319,44,275,1,4,13.8,🟢 saudavel,🟠 baixa,🟠 PRECISA ATENCAO,Parceria ou source-scrape p/ INCI
vizet,Vizet,outras,315,104,210,3,16,33.0,🟢 saudavel,🟠 baixa,🟠 PRECISA ATENCAO,Parceria ou source-scrape p/ INCI
loccitane,L'Occitane au Brasil,internacional,307,9,282,0,143,2.9,🟢 saudavel,🔴 zerada,🔴 SEM INCI,PARCERIA p/ INCI (gap critico)
keragen,Keragen,nacional,286,249,35,6,2,87.1,🟢 saudavel,🟢 boa,🟢 SAUDAVEL,OK
de-benguela,De Benguela,nacional,286,0,286,0,0,0.0,🟢 saudavel,🔴 zerada,🔴 SEM INCI,PARCERIA p/ INCI (gap critico)
keune,Keune,internacional,284,254,30,48,28,89.4,🟢 saudavel,🟢 boa,🟢 SAUDAVEL,OK
joico,Joico,outras,281,168,104,0,0,59.8,🟢 saudavel,🟡 media,🟡 ESTAVEL,Acompanhar
london-cosmeticos,London Cosméticos,nacional,276,2,266,0,0,0.7,🟢 saudavel,🔴 zerada,🔴 SEM INCI,PARCERIA p/ INCI (gap critico)
kerastase,Kérastase,internacional,272,128,52,9,0,47.1,🟢 saudavel,🟡 media,🟡 ESTAVEL,Acompanhar
mahogany,Mahogany,outras,265,63,202,0,144,23.8,🟢 saudavel,🟠 baixa,🟠 PRECISA ATENCAO,Parceria ou source-scrape p/ INCI
spa-cosmetics,Spa Cosmetics,nacional,258,14,244,0,8,5.4,🟢 saudavel,🔴 zerada,🔴 SEM INCI,PARCERIA p/ INCI (gap critico)
facinatus-cosmeticos,Facinatus Cosméticos,nacional,245,40,205,0,78,16.3,🟢 saudavel,🟠 baixa,🟠 PRECISA ATENCAO,Parceria ou source-scrape p/ INCI
amahka-paris,Amahka Paris,outras,245,67,177,6,154,27.3,🟢 saudavel,🟠 baixa,🟠 PRECISA ATENCAO,Parceria ou source-scrape p/ INCI
red-iron,Red Iron,nacional,243,48,195,1,1,19.8,🟢 saudavel,🟠 baixa,🟠 PRECISA ATENCAO,Parceria ou source-scrape p/ INCI
kiria-hair-professional,Kiria Hair Professional,outras,241,44,190,0,0,18.3,🟢 saudavel,🟠 baixa,🟠 PRECISA ATENCAO,Parceria ou source-scrape p/ INCI
elseve,Elseve,nacional,228,5,223,0,2,2.2,🟢 saudavel,🔴 zerada,🔴 SEM INCI,PARCERIA p/ INCI (gap critico)
pokoloka,Pokoloka,outras,228,4,224,1,79,1.8,🟢 saudavel,🔴 zerada,🔴 SEM INCI,PARCERIA p/ INCI (gap critico)
brae,Braé,nacional,228,1,227,0,0,0.4,🟢 saudavel,🔴 zerada,🔴 SEM INCI,PARCERIA p/ INCI (gap critico)
treeliss-profissional,TreeLiss Profissional,outras,225,102,123,19,1,45.3,🟢 saudavel,🟡 media,🟡 ESTAVEL,Acompanhar
inoar,Inoar,nacional,218,202,16,1,1,92.7,🟢 saudavel,🟢 boa,🟢 SAUDAVEL,OK
acquarara,AcquaRara,outras,214,99,115,0,1,46.3,🟢 saudavel,🟡 media,🟡 ESTAVEL,Acompanhar
all-nature,All Nature,outras,214,159,55,11,1,74.3,🟢 saudavel,🟢 boa,🟢 SAUDAVEL,OK
soupleliss-professional,Soupleliss Professional,outras,210,78,132,11,4,37.1,🟢 saudavel,🟠 baixa,🟠 PRECISA ATENCAO,Parceria ou source-scrape p/ INCI
myphios-professional,Myphios Professional,outras,205,119,86,24,10,58.0,🟢 saudavel,🟡 media,🟡 ESTAVEL,Acompanhar
baume,Baume,nacional,202,42,160,0,44,20.8,🟢 saudavel,🟠 baixa,🟠 PRECISA ATENCAO,Parceria ou source-scrape p/ INCI
gota-dourada,Gota Dourada,nacional,199,6,193,0,2,3.0,🟢 saudavel,🔴 zerada,🔴 SEM INCI,PARCERIA p/ INCI (gap critico)
bio-extratus,Bio Extratus,nacional,197,0,197,0,4,0.0,🟢 saudavel,🔴 zerada,🔴 SEM INCI,PARCERIA p/ INCI (gap critico)
wbeauty-cosmeticos,WBeauty Cosméticos,nacional,196,0,192,0,0,0.0,🟢 saudavel,🔴 zerada,🔴 SEM INCI,PARCERIA p/ INCI (gap critico)
fattore,Fattore,outras,193,46,147,0,17,23.8,🟢 saudavel,🟠 baixa,🟠 PRECISA ATENCAO,Parceria ou source-scrape p/ INCI
forever-liss-professional,Forever Liss Professional,outras,190,138,52,15,8,72.6,🟢 saudavel,🟢 boa,🟢 SAUDAVEL,OK
arvensis-cosmeticos-naturais,Arvensis Cosméticos Naturais,nacional,189,5,149,2,0,2.6,🟢 saudavel,🔴 zerada,🔴 SEM INCI,PARCERIA p/ INCI (gap critico)
muriel,Muriel,nacional,177,5,117,0,0,2.8,🟢 saudavel,🔴 zerada,🔴 SEM INCI,PARCERIA p/ INCI (gap critico)
mahair-cosmetics,Mahair Cosmetics,nacional,171,16,145,3,2,9.4,🟢 saudavel,🔴 zerada,🔴 SEM INCI,PARCERIA p/ INCI (gap critico)
c-kamura,C.Kamura,outras,156,4,152,1,5,2.6,🟢 saudavel,🔴 zerada,🔴 SEM INCI,PARCERIA p/ INCI (gap critico)
knut,KNUT,outras,155,32,123,0,0,20.6,🟢 saudavel,🟠 baixa,🟠 PRECISA ATENCAO,Parceria ou source-scrape p/ INCI
capicilin,Capicilin,nacional,151,0,151,0,0,0.0,🟢 saudavel,🔴 zerada,🔴 SEM INCI,PARCERIA p/ INCI (gap critico)
alphahall-cosmetiques,Alphahall Cosmétiques,outras,151,140,11,0,15,92.7,🟢 saudavel,🟢 boa,🟢 SAUDAVEL,OK
paiolla-professional,Paiolla Professional,outras,149,100,44,0,6,67.1,🟢 saudavel,🟡 media,🟡 ESTAVEL,Acompanhar
professional-paris-cosmetics,Professional Paris Cosmetics,outras,149,0,145,0,0,0.0,🟢 saudavel,🔴 zerada,🔴 SEM INCI,PARCERIA p/ INCI (gap critico)
seda,Seda,nacional,146,104,41,0,1,71.2,🟢 saudavel,🟢 boa,🟢 SAUDAVEL,OK
