brand_slug,brand_name,origem,total,verified_inci,pct_inci,termo_volume,termo_inci,motivo,observacao,url_atual,status_brand_json,priority
davines,Davines,internacional,0,0,0.0,🔴 vazio,⚪ N/A,cloudflare_blocked,Site bloqueia scraper. Precisa entrada manual ou parceria.,,active,
truss,TRUSS,nacional,0,0,0.0,🔴 vazio,⚪ N/A,cloudflare_blocked,Site bloqueia scraper. Precisa entrada manual ou parceria.,,active,1
wella-professionals,Wella Professionals,nacional,0,0,0.0,🔴 vazio,⚪ N/A,cloudflare_blocked,Site bloqueia scraper. Precisa entrada manual ou parceria.,,active,
50-megumi,50 Megumi,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
acca-kappa,Acca Kappa,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
ache,Ache,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,41
aesop,Aesop,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
agadir-argan-oil,Agadir Argan Oil,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
ahava,Ahava,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
alfaparf,AlfaParf,internacional,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
american-crew,American Crew,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
american-desire,American Desire,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,blocked_maintenance,3
anuar-cosmeticos,Anuar Cosméticos,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
any-liss,Any Liss,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
apivita,Apivita,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
aromatherapy-associates,Aromatherapy Associates,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
aromia-cosmeticos,Aromia Cosméticos,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
ativo-natural,Ativo Natural,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
aveda,Aveda,internacional,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
avlon,Avlon,nacional,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
avon,Avon,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
barba-de-urso,Barba de Urso,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
baxter-of-california,Baxter of California,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
be-belle,Be Belle,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
beauty-secret,Beauty Secret,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
beauty-world,Beauty World,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
beautycolor,BeautyColor,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
bebe-natureza,Bebê Natureza,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
